Punto de entrega,FECHA_LECT,HORA_LECT,KWH_DEL_INT,KWH_REC_INT,VII_AVG_MEAN,KVARH_Q1_INT,KVARH_Q2_INT,KVARH_Q3_INT,KVARH_Q4_INT,POT_ACT_FACT
08119ELSTERA1800,02/03/2024,21:30:00,0.073350,0.000000,0.000000,0.016675,0.000000,0.000000,0.000000,0.293400
08119ELSTERA1800,02/03/2024,21:45:00,0.074675,0.000000,0.000000,0.017025,0.000000,0.000000,0.000000,0.298700
08119ELSTERA1800,02/03/2024,22:00:00,0.073800,0.000000,0.000000,0.016625,0.000000,0.000000,0.000000,0.295200
08119ELSTERA1800,02/03/2024,22:15:00,0.076100,0.000000,0.000000,0.019350,0.000000,0.000000,0.000000,0.304400
08119ELSTERA1800,02/03/2024,22:30:00,0.068700,0.000000,0.000000,0.019000,0.000000,0.000000,0.000000,0.274800
08119ELSTERA1800,02/03/2024,22:45:00,0.067350,0.000000,0.000000,0.018875,0.000000,0.000000,0.000000,0.269400
08119ELSTERA1800,02/03/2024,23:00:00,0.063725,0.000000,0.000000,0.017825,0.000000,0.000000,0.000000,0.254900
08119ELSTERA1800,02/03/2024,23:15:00,0.064350,0.000000,0.000000,0.017525,0.000000,0.000000,0.000000,0.257400
08119ELSTERA1800,02/03/2024,23:30:00,0.062050,0.000000,0.000000,0.016425,0.000000,0.000000,0.000000,0.248200
08119ELSTERA1800,02/03/2024,23:45:00,0.060300,0.000000,0.000000,0.015325,0.000000,0.000000,0.000000,0.241200
08119ELSTERA1800,03/03/2024,00:00:00,0.059625,0.000000,0.000000,0.016425,0.000000,0.000000,0.000000,0.238500
08119ELSTERA1800,03/03/2024,00:15:00,0.061650,0.000000,0.000000,0.018250,0.000000,0.000000,0.000000,0.246600
08119ELSTERA1800,03/03/2024,00:30:00,0.055700,0.000000,0.000000,0.016225,0.000000,0.000000,0.000000,0.222800
08119ELSTERA1800,03/03/2024,00:45:00,0.056050,0.000000,0.000000,0.016400,0.000000,0.000000,0.000000,0.224200
08119ELSTERA1800,03/03/2024,01:00:00,0.055050,0.000000,0.000000,0.016825,0.000000,0.000000,0.000000,0.220200
08119ELSTERA1800,03/03/2024,01:15:00,0.051825,0.000000,0.000000,0.016700,0.000000,0.000000,0.000000,0.207300
08119ELSTERA1800,03/03/2024,01:30:00,0.011375,0.000000,0.000000,0.004175,0.000000,0.000000,0.000000,0.045500
08119ELSTERA1800,03/03/2024,01:45:00,0.025650,0.000000,0.000000,0.010725,0.000000,0.000000,0.000000,0.102600
08119ELSTERA1800,03/03/2024,02:00:00,0.058225,0.000000,0.000000,0.019875,0.000000,0.000000,0.000000,0.232900
08119ELSTERA1800,03/03/2024,02:15:00,0.053925,0.000000,0.000000,0.015625,0.000000,0.000000,0.000000,0.215700
08119ELSTERA1800,03/03/2024,02:30:00,0.053050,0.000000,0.000000,0.015350,0.000000,0.000000,0.000000,0.212200
08119ELSTERA1800,03/03/2024,02:45:00,0.052100,0.000000,0.000000,0.017125,0.000000,0.000000,0.000000,0.208400
08119ELSTERA1800,03/03/2024,03:00:00,0.053150,0.000000,0.000000,0.016100,0.000000,0.000000,0.000000,0.212600
08119ELSTERA1800,03/03/2024,03:15:00,0.050475,0.000000,0.000000,0.016550,0.000000,0.000000,0.000000,0.201900
08119ELSTERA1800,03/03/2024,03:30:00,0.047975,0.000000,0.000000,0.015750,0.000000,0.000000,0.000000,0.191900
08119ELSTERA1800,03/03/2024,03:45:00,0.049625,0.000000,0.000000,0.016025,0.000000,0.000000,0.000000,0.198500
08119ELSTERA1800,03/03/2024,04:00:00,0.049575,0.000000,0.000000,0.015525,0.000000,0.000000,0.000000,0.198300
08119ELSTERA1800,03/03/2024,04:15:00,0.048625,0.000000,0.000000,0.017175,0.000000,0.000000,0.000000,0.194500
08119ELSTERA1800,03/03/2024,04:30:00,0.049200,0.000000,0.000000,0.014375,0.000000,0.000000,0.000000,0.196800
08119ELSTERA1800,03/03/2024,04:45:00,0.046175,0.000000,0.000000,0.014050,0.000000,0.000000,0.000000,0.184700
08119ELSTERA1800,03/03/2024,05:00:00,0.045050,0.000000,0.000000,0.015150,0.000000,0.000000,0.000000,0.180200
08119ELSTERA1800,03/03/2024,05:15:00,0.045275,0.000000,0.000000,0.014050,0.000000,0.000000,0.000000,0.181100
08119ELSTERA1800,03/03/2024,05:30:00,0.045150,0.000000,0.000000,0.015100,0.000000,0.000000,0.000000,0.180600
08119ELSTERA1800,03/03/2024,05:45:00,0.044125,0.000000,0.000000,0.014850,0.000000,0.000000,0.000000,0.176500
08119ELSTERA1800,03/03/2024,06:00:00,0.047500,0.000000,0.000000,0.015675,0.000000,0.000000,0.000000,0.190000
08119ELSTERA1800,03/03/2024,06:15:00,0.049475,0.000000,0.000000,0.017175,0.000000,0.000000,0.000000,0.197900
08119ELSTERA1800,03/03/2024,06:30:00,0.044300,0.000000,0.000000,0.015050,0.000000,0.000000,0.000000,0.177200
08119ELSTERA1800,03/03/2024,06:45:00,0.035800,0.000000,0.000000,0.013050,0.000000,0.000000,0.000000,0.143200
08119ELSTERA1800,03/03/2024,07:00:00,0.035575,0.000000,0.000000,0.010725,0.000000,0.000000,0.000000,0.142300
08119ELSTERA1800,03/03/2024,07:15:00,0.025400,0.000000,0.000000,0.005800,0.000000,0.000000,0.000000,0.101600
08119ELSTERA1800,03/03/2024,07:30:00,0.024350,0.000000,0.000000,0.005725,0.000000,0.000000,0.000000,0.097400
08119ELSTERA1800,03/03/2024,07:45:00,0.025900,0.000000,0.000000,0.006500,0.000000,0.000000,0.000000,0.103600
08119ELSTERA1800,03/03/2024,08:00:00,0.027300,0.000000,0.000000,0.007675,0.000000,0.000000,0.000000,0.109200
08119ELSTERA1800,03/03/2024,08:15:00,0.029725,0.000000,0.000000,0.008950,0.000000,0.000000,0.000000,0.118900
08119ELSTERA1800,03/03/2024,08:30:00,0.028425,0.000000,0.000000,0.009900,0.000000,0.000000,0.000000,0.113700
08119ELSTERA1800,03/03/2024,08:45:00,0.027750,0.000000,0.000000,0.009425,0.000000,0.000000,0.000000,0.111000
08119ELSTERA1800,03/03/2024,09:00:00,0.028325,0.000000,0.000000,0.008750,0.000000,0.000000,0.000000,0.113300
